URI,Created,Works,Environment,Parent Collection,Url to collection online,Sheet Creator,Sheet Done,Date Created,Archipelago Collection,Notes,Errors
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi_initial,2025-03-06T15:59:24.892000+00:00,91,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/lumpkin-papers,2025-12-12T22:42:44.978000+00:00,11,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/berger_cloonan_first_58-2020-11-11%5B3%5D,2020-11-11T15:17:16.785000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/james-test-ingest-20251021,2025-10-21T22:36:44.637000+00:00,2,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/graydiary-saf,2025-10-22T13:41:54.871000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised,2022-12-14T15:24:07.652000+00:00,68,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021-b%5B8%5D,2022-11-11T14:51:38.652000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/last_batch_for_pre,2025-03-27T13:14:19.022000+00:00,91,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/quick-audrey,2025-06-13T21:15:03.189000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/londonmaps_public_domain-2020-04-17%5B2%5D,2020-04-17T16:53:48.666000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021%5B9%5D,2022-11-09T22:21:56.411000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/apfelbaum-pre,2021-10-27T15:51:45.262000+00:00,415,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021,2022-11-09T22:21:56.331000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021-b,2022-11-11T14:51:38.577000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924,2024-09-24T16:49:01.566000+00:00,25,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/a-time-of-resolve-2020-09-22,2020-09-23T01:35:24.929000+00:00,140,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/londonmaps_public_domain-2020-04-17%5B3%5D,2020-04-17T16:53:48.672000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/saf-output,2025-07-14T13:37:01.986000+00:00,50,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021-b%5B9%5D,2022-11-11T14:51:38.660000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021%5B6%5D,2022-11-09T22:21:56.408000+00:00,1,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/aerial,2025-08-06T17:21:54.924000+00:00,2,pre,,,,,,,,
https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/scifi-exhibit-2021%5B8%5D,2022-11-09T22:21:56.394000+00:00,1,pre,,,,,,,,
