subject_local,date_created,geographic_subject_local,genre_form_local,rights_statement,date_digital_creation,contributor,digital_publisher,title,format,Image
"['Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits', 'Medical students']",2000,"['College Station (Tex.)', 'Texas', 'United States']","['StillImage', 'Portraits', 'Photographs']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:07:32.834000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 2000, Texas A&M University System Health Science Center College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/21/pages/page_0/files/COMClass2000.jpg
"['Pictorial works', 'Portraits', 'Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine']",1988,"['Texas', 'United States', 'College Station (Tex.)']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:12:17.512000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1988, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/9/pages/page_0/files/COMClass1988.jpg
"['Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits']",1987,"['College Station (Tex.)', 'Texas', 'United States']","['Photographs', 'StillImage', 'Portraits']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:12:04.003000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1987, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/8/pages/page_0/files/COMClass1987.jpg
"['Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits']",2011,"['United States', 'College Station (Tex.)', 'Texas']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:10:15.639000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 2011, Texas A&M Health Science Center College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/32/pages/page_0/files/COMClass2011.jpg
"['Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits']",2008,"['United States', 'College Station (Tex.)', 'Texas']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:09:21.532000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 2008, Texas A&M Health Science Center College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/29/pages/page_0/files/COMClass2008.jpg
"['Pictorial works', 'Portraits', 'Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine']",2009,"['United States', 'College Station (Tex.)', 'Texas']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:09:48.544000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 2009, Texas A&M Health Science Center College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/30/pages/page_0/files/COMClass2009.jpg
"['Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits', 'Medical students']",2006,"['College Station (Tex.)', 'Texas', 'United States']","['StillImage', 'Portraits', 'Photographs']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:08:54.279000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 2006, Texas A&M Health Science Center College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/27/pages/page_0/files/COMClass2006.jpg
"['Pictorial works', 'Portraits', 'Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine']",2005,"['Texas', 'United States', 'College Station (Tex.)']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:08:40.786000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 2005, Texas A&M University System Health Science Center College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/26/pages/page_0/files/COMClass2005.jpg
"['Pictorial works', 'Portraits', 'Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine']",2003,"['Texas', 'United States', 'College Station (Tex.)']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:08:13.647000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 2003, Texas A&M University System Health Science Center College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/24/pages/page_0/files/COMClass2003.jpg
"['Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits']",1993,"['United States', 'College Station (Tex.)', 'Texas']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:05:43.594000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1993, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/14/pages/page_0/files/COMClass1993.jpg
"['Pictorial works', 'Portraits', 'Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine']",1982,"['Texas', 'United States', 'College Station (Tex.)']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:09:34.993000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1982, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/3/pages/page_0/files/COMClass1982.jpg
"['Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits']",1991,"['United States', 'College Station (Tex.)', 'Texas']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:05:15.731000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1991, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/12/pages/page_0/files/COMClass1991.jpg
"['Medical students', 'Texas--College Station', 'Texas A & M University. College of Medicine', 'Pictorial works', 'Portraits']",1990,"['United States', 'College Station (Tex.)', 'Texas']","['Portraits', 'Photographs', 'StillImage']",In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,2020-11-20T17:05:02.083000+00:00,Texas A & M University. College of Medicine,Texas A & M University. Libraries,"Class of 1990, Texas A&M University College of Medicine",reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/11/pages/page_0/files/COMClass1990.jpg
