medium,identifier,content_type,rights_statement,access_rights,extent,title,format,genre_form_local,description,subject_local,date_digital_creation,date_created,digital_publisher,Image,contributor,geographic_subject_local
Paper,8386,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of red, blue, black and white marbled paper; 8.50 x 11.00 in.",Berger-Cloonan #8386,reformatted digital,Stone marbled papers|agate marbled paper|art reproduction|endpapers,"Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; Inscription on original piece: ""general or Ancient [St.?""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.f; Not signed. Not stamped.; Rough binding edge, several small tears into edges; dark smudges on verso; slightly wrinkled.",Marbled papers,2021-06-16T15:58:34.675000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/265/pages/page_0/files/08386.jpg,,
Paper,8207,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of pink, gray, blue, yellow and white marbled paper; 5.00 x 10.25 in.",Berger-Cloonan #8207,reformatted digital,art reproduction|endpapers|nonpareil marbled paper,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.,Marbled papers,2021-06-16T15:32:45.120000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/152/pages/page_0/files/08207.jpg,,
Paper,6897,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of dark red, blue, yellow and white marbled paper; 8.00 x 13.00 in.",Berger-Cloonan #6897,reformatted digital,art reproduction|endpapers|nonpareil marbled paper,Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; waved pattern; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.,Marbled papers,2021-06-16T15:04:26.074000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/28/pages/page_0/files/06897.jpg,,
Paper,8230,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of dark red, green, blue, yellow and white marbled paper; 4.00 x 6.50 in.",Berger-Cloonan #8230,reformatted digital,endpapers|nonpareil marbled paper|art reproduction,"Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; Inscription on original piece: ""BOUND BY NUTT, CAMBRIDGE""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. stamped.",Marbled papers,2021-06-16T15:37:18.369000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/172/pages/page_0/files/08230.jpg,,
Paper,8306,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of blue, red, yellow, dark green and white marbled paper; 8.50 x 10.50 in.",Berger-Cloonan #8306,reformatted digital,Random marbled papers|art reproduction|endpapers|marbled paper,"Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; Inscription on original piece: ""-John Jones-Claremont Street Shrewsbury""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4; Not signed. Not stamped.; One rough edge; attached to two flyleaves.",Marbled papers,2021-06-16T15:54:40.350000+00:00,19th century [?],Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/248/pages/page_0/files/08306.jpg,,
Paper,8226,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of dark red, green, blue, yellow and white marbled paper; 4.00 x 6.50 in.",Berger-Cloonan #8226,reformatted digital,endpapers|nonpareil marbled paper|art reproduction,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.,Marbled papers,2021-06-16T15:36:23.978000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/168/pages/page_0/files/08226.jpg,,
Paper,6940,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of blue, tan, brown and white marbled paper; 9.25 x 14.25 in.",Berger-Cloonan #6940,reformatted digital,art reproduction|curled marbled paper|endpapers|French snail marbled papers|Dutch marbled paper,"Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.c; Not signed. Not stamped.; Piece missing from edge; 2.50"" tear; edges chipped.",Marbled papers,2021-06-16T15:14:00.173000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/70/pages/page_0/files/06940.jpg,,
Paper,6913,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of red, blue, tan and white marbled paper; 10.00 x 13.50 in.",Berger-Cloonan #6913,reformatted digital,art reproduction|nonpareil marbled paper|endpapers,Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.; Edges chipped and torn; discolored.,Marbled papers,2021-06-16T15:08:04.250000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/44/pages/page_0/files/06913.jpg,,
Paper,6892,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of yellow, blue, red and white marbled paper; 10.00 x 12.00 in.",Berger-Cloonan #6892,reformatted digital,art reproduction|endpapers,Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed. Not stamped.; Edges torn.,Marbled papers,2021-06-16T15:03:17.788000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/23/pages/page_0/files/06892.jpg,,
Paper,8259,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of green, brown, black, yellow and white marbled paper; 8.50 x 9.00 in.",Berger-Cloonan #8259,reformatted digital,art reproduction|curl marbled paper|endpapers|French snail marbled papers|dutch marbled paper,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.c; Not signed. Not stamped.,Marbled papers,2021-06-16T15:43:55.292000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/201/pages/page_0/files/08259.jpg,,
Paper,8301,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of blue, light yellow, gold and white marbled paper; 6.00 x 8.75 in.",Berger-Cloonan #8301,reformatted digital,Random marbled papers|art reproduction|endpapers|moiré (pattern),Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; Glossy finish; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.d; Not signed. Not stamped.; One rough edge; bent corner; several tiny tears into edges.,Marbled papers,2021-06-16T15:53:31.509000+00:00,19th century [?],Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/243/pages/page_0/files/08301.jpg,,
Paper,8201,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of pink, blue, gray, black and white marbled paper; 5.25 x 8.00 in.",Berger-Cloonan #8201,reformatted digital,art reproduction|endpapers|nonpareil marbled paper,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.; Abraded and faded; edges torn.,Marbled papers,2021-06-16T15:31:23.213000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/146/pages/page_0/files/08201.jpg,,
Paper,1347,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of green, black and gray embossed paper; 19.50 x 27.75  in.",Berger-Cloonan #1347,reformatted digital,art reproduction|embossed prints,Surface treated; Embossed leatherette paper; M4.D2.F5; Pattern resembles snake skin; sheet printed in green with black on raised areas; Karli Frigge donated the sheet to Sidney E. Berger and Michele V. Cloonan.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: IX.D.2; Not signed. Not stamped. Not stickered. Not embossed.; Folded corner,Decorative paper,2021-06-16T14:59:46.742000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/8/pages/page_0/files/01347.jpg,,
Paper,8311,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of light brown, blue, pink, yellow, black and white marbled paper; 6.25 x 9.50 in.",Berger-Cloonan #8311,reformatted digital,Stone marbled papers|agate marbled paper|art reproduction|endpapers,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.f; Not signed. Not stamped.; One rough edge; lightly foxed.,Marbled papers,2021-06-16T15:55:49.336000+00:00,19th century [?],Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/253/pages/page_0/files/08311.jpg,,
Paper,8285,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of red, blue, green, yellow and white marbled paper; 7.75 x 10.25 in.",Berger-Cloonan #8285,reformatted digital,art reproduction|endpapers|Laid lines|nonpareil marbled paper,Distribution of fibers; Surface application; Laid; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; attached to blank sheet of laid paper; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.e; Not signed. Not stamped.; Very faded; one rough edge.,Marbled papers,2021-06-16T15:49:52.024000+00:00,19th century [?],Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/227/pages/page_0/files/08285.jpg,,
Paper,6907,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of dark red, blue, yellow and white marbled paper; 8.00 x 13.50 in.",Berger-Cloonan #6907,reformatted digital,art reproduction|nonpareil marbled paper|endpapers,Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped. Not stickered. Not embossed.; Corner missing; torn; abrasion.,Marbled papers,2021-06-16T15:06:42.589000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/38/pages/page_0/files/06907.jpg,,
Paper,8240,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of pink, blue, yellow, black and white marbled paper; 8.00 x 8.50 in.",Berger-Cloonan #8240,reformatted digital,art reproduction|endpapers|nonpareil marbled paper,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.,Marbled papers,2021-06-16T15:39:34.740000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/182/pages/page_0/files/08240.jpg,,
Paper,1342,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of red, yellow, blue, black and white marbled paper; 16.00 x 24.00  in.",Berger-Cloonan #1342,reformatted digital,art reproduction|Combed marbled papers|curl marbled paper,"Surface application; Marbled; M4.D2.F5; Inscription on original piece: ""Gift of Karli Frigge 7/10/00"";""done in 1911"";""Gebr. GIELES.""; Karli Frigge donated the sheet to Sidney E. Berger and Michele V. Cloonan on 07/10/2000.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed. Stamped. Not stickered. Not embossed.; Slightly yellowed",Marbled papers,2021-06-16T14:58:36.370000+00:00,1911,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/3/pages/page_0/files/01342.jpg,,
