dc_summary,ldp_contains,dcterms_isPartOf,fedora_createdBy,dc_language,dcterms_extent,dc_type,dc_description,dcterms_type,fedora_hasParent,dc_format,dc_rights,dc_title,dc_subject,fedora_created,dc_publisher,fedora_lastModifiedBy,fedora_lastModified,dcterms_issued,fedora_writable,files,dc_creator,dc_identifer,dc_contributor
"The world Cal and Frida have always known is gone, and they've left the crumbling city of Los Angeles far behind them. They now live in a shack in the wilderness, working side-by-side to make their days tolerable in the face of hardship and isolation. Mourning a past they can't reclaim, they seek solace in each other. But the tentative existence they've built for themselves is thrown into doubt when Frida finds out she's pregnant. Terrified of the unknown and unsure of their ability to raise a child alone, Cal and Frida set out for the nearest settlement, a guarded and paranoid community with dark secrets. These people can offer them security, but Cal and Frida soon realize this community poses dangers of its own. In this unfamiliar world, where everything and everyone can be perceived as a threat, the couple must quickly decide whom to trust.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/56/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/56/orderProxies,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Apocalyptic fiction,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",California : a novel,Pregnant women|Regression (Civilization)|Dystopias|Wilderness survival|California|Husband and wife,2023-06-05T16:50:35.976000+00:00,Little Brown and Company,fedoraAdmin,2023-06-05T16:50:35.976000+00:00,2014,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/56/pages/page_0/files/Scifi2021LepuckiCalifornia.jpg,"Lepucki, Edan",4766044,
"The first anthology to broadly collect solarpunk short fiction, artwork, and poetry. A new genre for the 21st Century, solarpunk is a revolution against despair. Focusing on solutions to environmental disasters, solarpunk envisions a future of green, sustainable energy used by societies that value inclusiveness, cooperation, and personal freedom.  Sunvault focuses on the stories of those inhabiting the crucial moments when great change can be made by people with the right tools; stories of people living during tipping points, and the spaces before and after them; and stories of those who fight to effect change and seek solutions to ecological disruption.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/27/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/27/orderProxies,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Ecofiction|book jackets|Science fiction,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Sunvault : stories of solarpunk and eco-speculation,Solar energy|Renewable energy sources|Sustainability,2023-06-05T16:41:26.229000+00:00,Upper Rubber Boot Books,fedoraAdmin,2023-06-05T16:41:26.229000+00:00,[2017],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/27/pages/page_0/files/Scifi2021Sunvault.jpg,,5968876,
"Follows three generations of beekeepers from the past, present, and future, weaving a spellbinding story of their relationship to the bees--and to their children and one another--against the backdrop of an urgent, global crisis. England, 1852. William is a biologist and seed merchant, who sets out to build a new type of beehive--one that will give both him and his children honor and fame. United States, 2007. George is a beekeeper fighting an uphill battle against modern farming, but hopes that his son can be their salvation. China, 2098. Tao hand paints pollen onto the fruit trees now that the bees have long since disappeared. When Tao's young son is taken away by the authorities after a tragic accident, she sets out on a grueling journey to find out what happened to him. Haunting, illuminating, and deftly written, The History of Bees joins these three very different narratives into one gripping and thought-provoking story that is just as much about the powerful bond between children and parents as it is about our very relationship to nature and humanity""--",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/11/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/11/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Science fiction|Domestic fiction|book jackets,"Book jacket image of the First Touchstone hardcover edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",The history of bees,Extinction (Biology)|Beekeepers|Bees,2023-06-05T16:30:38.608000+00:00,Touchstone,fedoraAdmin,2023-06-05T16:30:38.608000+00:00,2017,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/11/pages/page_0/files/Scifi2021LundeThe.jpg,"Lunde, Maja",5968867,
"An epic fantasy about the princess of a small kingdom who becomes involved in a war, while environmental disaster threatens the survival of humankind. On her journey, she struggles to bring about a peaceful coexistence among the people of her world, as well as between humanity and nature.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/19/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/19/orderProxies,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Fantasy comics|Apocalyptic fiction|Comics (Graphic works),"Book jacket image of the Deluxe edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",StillImage|Text,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Nausicaä of the Valley of the Wind,Conservation of natural resources|Imaginary wars and battles|Princesses,2023-06-05T16:38:54.433000+00:00,VIZ Media,fedoraAdmin,2023-06-05T16:38:54.433000+00:00,2012,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/19/pages/page_0/files/Scifi2021MiyazakiNausicaa_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/19/pages/page_1/files/Scifi2021MiyazakiNausicaa_2.jpg,"Miyazaki, Hayao, 1941-",5991848,
"""In 2022, GMOs were banned. A biopharmaceutical caused the Catastrophe: worldwide economic and agricultural collapse, and personal tragedy for lawyer Caroline Denton and her son. Ten years later, as Renata Black, she is a member of the Org, an underground group of scientists hunted by the feds. But the Org's illegal food-research might just hold the key to rebuilding the worlds' food supply.""--Provided by publisher.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/24/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/24/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Dystopian fiction|Apocalyptic fiction|Science fiction|Spy fiction|Ecofiction|book jackets,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",StillImage|Text,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Sea change,Dystopias|Genetically modified foods|Food,2023-06-05T16:40:29.331000+00:00,Tachyon Publications,fedoraAdmin,2023-06-05T16:40:29.331000+00:00,[2020],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/24/pages/page_0/files/Scifi2021NancySea.jpg,"Kress, Nancy",5969629,
The environment is dying and the plants have chosen you to save them. You're going to make a difference ... but at what cost?,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/41/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/41/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Ecofiction|Science fiction|book jackets,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Kinship of clover : a novel,Plants|Botanists|Survival,2023-06-05T16:45:50.678000+00:00,Red Hen Press,fedoraAdmin,2023-06-05T16:45:50.678000+00:00,[2017],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/41/pages/page_0/files/Scifi2021Meeropolkinship.jpg,"Meeropol, Ellen,",5969701,
"A revolution has taken over the government of the United States and the environment has been saved. All pollution has been banned and reversed. It's a bright, green new world. But this new world comes with a great cost. The United States is ruled by a dictatorship and the corporations are fighting back. Joining them are an increasing number of rebels angered by the dictatorship of Chairman Rahma. The Chairman's power is absolute and appears strong, but in The Little Green Book of Chairman Rahma by Brian Herbert, cracks are beginning to show as new weapons are developed by the old corporate powers, foreign alliances begin to make inroads into America's influence. and strange reports of mutants filter through the government's censorship.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/31/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/31/orderProxies,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,Ecofiction|book jackets|Science fiction|Dystopian fiction,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",The little green book of Chairman Rahma,Revolutions|Dictatorship|Ecology,2023-06-05T16:42:42.147000+00:00,Tor,fedoraAdmin,2023-06-05T16:42:42.147000+00:00,[2014],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/31/pages/page_0/files/Scifi2021HerbertThe.jpg,"Herbert, Brian",5969626,
"A nineteenth-century missionary doctor in Bangkok pines for the comforts of New England even as he finds the vibrant foreign chaos of Siam increasingly difficult to resist. A post-war society woman marries, mothers, and holds court, little suspecting the course of her future. A jazz pianist is summoned in the 1970s to conjure music that will pacify resident spirits, even as he's haunted by ghosts of his former life. Not long after, a young woman gives swimming lessons in the luxury condos that have eclipsed the old house, trying to outpace the long shadow of her political past. And in the post-submergence Bangkok of the future, a band of savvy teenagers guides tourists and former residents past waterlogged, ruined landmarks, selling them tissues to wipe their tears for places they themselves do not remember. Time collapses as these stories collide and converge, linked by blood, memory, yearning, chance, and the forces voraciously making and remaking the amphibian, ever-morphing city itself.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/95/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/95/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Historical fiction,"Book jacket image of the First Riverhead Trade paperback edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",Bangkok wakes to rain : a novel,Thailand|Thailand--Bangkok,2023-06-05T17:03:12.865000+00:00,Riverhead Books,fedoraAdmin,2023-06-05T17:03:12.865000+00:00,2020,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/95/pages/page_0/files/Scifi2021SudbanthadBangkok.jpg,"Sudbanthad, Pitchaya",on1124897622,
"After rendering the planet unlivable, humankind begins to colonize a new blue planet, and heroine Billie Crusoe embarks on a personal odyssey into the future, in an adventure that explores humankind's relationship to the environment, power, and technology.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/54/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/54/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Science fiction|Psychological fiction|Romance fiction|Ecofiction,"Book jacket image of the First U.S. edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",StillImage|Text,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",The stone gods,Interplanetary voyages|Life on other planets|Pollution|Time travel|Space colonies,2023-06-05T16:49:58.064000+00:00,Harcourt,fedoraAdmin,2023-06-05T16:49:58.064000+00:00,[2007],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/54/pages/page_0/files/Scifi2021WintersonThe.jpg,"Winterson, Jeanette, 1959-",2993231,
"An Amish community in Pennsylvania is caught up in the devastating aftermath of a catastrophic solar storm and the subsequent collapse of modern civilization as the Englishers in the nearby cities begin to invade their farms. Jacob's Amish community in Pennsylvania is caught up in the violence, but defense is hindered by their beliefs. In protecting his family, will Jacob defy his beliefs and take up arms? His diary details his conflicts, both physical and internal.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/49/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/49/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Diary fiction|Apocalyptic fiction|Ecofiction,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",StillImage|Text,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",When the English fall : a novel,Solar activity|Survival|Regression (Civilization)|Amish|Pennsylvania--Lancaster County|Disasters,2023-06-05T16:48:23.120000+00:00,Algonquin Books of Chapel Hill,fedoraAdmin,2023-06-05T16:48:23.120000+00:00,2017,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/49/pages/page_0/files/Scifi2021WilliamsWhen.jpg,"Williams, David (David Gerald), 1969-",5526148,
"""Set in a futuristic, hostile Orleans landscape, Fen de la Guerre must deliver her tribe leader's baby over the Wall into the Outer States before her blood becomes tainted with Delta Fever""--Provided by publisher.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/39/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/39/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Science fiction,"Book jacket image of the  held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Orleans,Louisiana--New Orleans|Virus diseases,2023-06-05T16:45:13.979000+00:00,G.P. Putnam's Sons,fedoraAdmin,2023-06-05T16:45:13.979000+00:00,[2013],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/39/pages/page_0/files/Scifi2021SmithOrleans.jpg,"Smith, Sherri L.",4446364,
"In this English-language debut of a Taiwanese author,  the lives of two people from very different worlds intertwine under the shadow of a man-made catastrophe. On the mythical island of Wayo-Wayo, young Atile'i has just seen his 180th full moon and, following the tradition of his people, is sent out alone into the vast Pacific as a sacrifice to the Sea God. Just when it seems that all hope is lost, he happens upon a new home--a vast island made of trash. Meanwhile, in Taiwan, Alice, a professor of literature, is preparing to commit suicide following the disappearance of her husband and son. But her plans are put on hold when the trash island collides with the Taiwan coast where Alice lives. Her home is destroyed, but meeting Atile'i gives her life new meaning as they set out to solve the mystery of her lost family.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/33/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/33/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Science fiction|Dystopian fiction|Ecofiction,"Book jacket image of the First United States edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",StillImage|Text,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",The man with the compound eyes,Missing persons|Islands|Pollution|Families,2023-06-05T16:43:20.152000+00:00,Pantheon,fedoraAdmin,2023-06-05T16:43:20.152000+00:00,[2014],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/33/pages/page_0/files/Scifi2021Ming-YiThe.jpg,"Wu, Ming-Yi, 1971-",4752691,
"In this debut novel featuring  a second American Civil War, a devastating plague, and one family caught deep in the middle, the story  asks what might happen if America were to turn its most devastating policies and deadly weapons upon itself. Sarat Chestnut, born in Louisiana, is only six when the Second American Civil War breaks out in 2074. But even she knows that oil is outlawed, that Louisiana is half underwater, and that unmanned drones fill the sky. When her father is killed and her family is forced into Camp Patience for displaced persons, she begins to grow up shaped by her particular time and place. But not everyone at Camp Patience is who they claim to be. Eventually Sarat is befriended by a mysterious functionary, under whose influence she is turned into a deadly instrument of war. The decisions that she makes will have tremendous consequences not just for Sarat but for her family and her country, rippling through generations of strangers and kin alike.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/92/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/92/pages,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,War fiction|book jackets|Science fiction|Dystopian fiction,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",StillImage|Text,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",American war,Civil war|United States--Louisiana|Young women|Dystopias,2023-06-05T18:50:57.999000+00:00,Alfred A. Knopf,fedoraAdmin,2023-06-05T18:50:57.999000+00:00,2017,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/92/pages/page_0/files/Scifi2021ElAkkadAmerican.jpg,"El Akkad, Omar, 1982-",5431241,
"Out on the far northern border of a failed state, Makepeace--sheriff and perhaps the last citizen--patrols the city ruins, salvaging books but keeping the guns in good repair.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/9/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/9/orderProxies,Science Fiction & Fantasy Research Collection,fedoraAdmin,eng,Book cover,book jackets|Dystopian fiction|Fantasy fiction,"Book jacket image of the First Canadian edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Text|StillImage,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,reformatted digital,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Far north,Dystopias|Arctic regions,2023-06-05T16:33:49.114000+00:00,HarperCollins,fedoraAdmin,2023-06-05T16:33:49.114000+00:00,[2009],false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/9/pages/page_0/files/Scifi2021TherouxFar.jpg,"Theroux, Marcel, 1968-",6273266,
