field_name,collection,csv_file
fedora_writable,la_linda_poblana,la_linda_poblana.csv
fedora_lastModified,la_linda_poblana,la_linda_poblana.csv
fedora_lastModifiedBy,la_linda_poblana,la_linda_poblana.csv
dc_language,la_linda_poblana,la_linda_poblana.csv
dcterms_IsPartOf,la_linda_poblana,la_linda_poblana.csv
files,la_linda_poblana,la_linda_poblana.csv
dc_language,london-collection,london-collection.csv
dcterms_issued,london-collection,london-collection.csv
dc_description,london-collection,london-collection.csv
fedora_lastModified,london-collection,london-collection.csv
dcterms_medium,london-collection,london-collection.csv
dcterms_extent,london-collection,london-collection.csv
dc_rights,london-collection,london-collection.csv
fedora_createdBy,london-collection,london-collection.csv
ldp_contains,london-collection,london-collection.csv
dc_subject,london-collection,london-collection.csv
dc_format,london-collection,london-collection.csv
dc_publisher,london-collection,london-collection.csv
fedora_lastModifiedBy,london-collection,london-collection.csv
dc_type,london-collection,london-collection.csv
dc_creator,london-collection,london-collection.csv
fedora_writable,london-collection,london-collection.csv
fedora_hasParent,london-collection,london-collection.csv
fedora_created,london-collection,london-collection.csv
dc_contributor,london-collection,london-collection.csv
dcterms_isPartOf,london-collection,london-collection.csv
dc_title,london-collection,london-collection.csv
files,london-collection,london-collection.csv
dcterms_created,london-collection,london-collection.csv
dcterms_alternative,london-collection,london-collection.csv
dcterms_extent,london-maps-batch-2,london-maps-batch-2.csv
dc_format,london-maps-batch-2,london-maps-batch-2.csv
dc_description,london-maps-batch-2,london-maps-batch-2.csv
fedora_lastModifiedBy,london-maps-batch-2,london-maps-batch-2.csv
dc_language,london-maps-batch-2,london-maps-batch-2.csv
dc_rights,london-maps-batch-2,london-maps-batch-2.csv
fedora_lastModified,london-maps-batch-2,london-maps-batch-2.csv
dc_title,london-maps-batch-2,london-maps-batch-2.csv
fedora_created,london-maps-batch-2,london-maps-batch-2.csv
dc_contributor,london-maps-batch-2,london-maps-batch-2.csv
fedora_writable,london-maps-batch-2,london-maps-batch-2.csv
fedora_hasParent,london-maps-batch-2,london-maps-batch-2.csv
dc_type,london-maps-batch-2,london-maps-batch-2.csv
dcterms_type,london-maps-batch-2,london-maps-batch-2.csv
dc_identifier,london-maps-batch-2,london-maps-batch-2.csv
dc_subject,london-maps-batch-2,london-maps-batch-2.csv
ldp_contains,london-maps-batch-2,london-maps-batch-2.csv
dc_coverage,london-maps-batch-2,london-maps-batch-2.csv
dc_creator,london-maps-batch-2,london-maps-batch-2.csv
dc_publisher,london-maps-batch-2,london-maps-batch-2.csv
dc_date,london-maps-batch-2,london-maps-batch-2.csv
dcterms_lcc,london-maps-batch-2,london-maps-batch-2.csv
fedora_createdBy,london-maps-batch-2,london-maps-batch-2.csv
files,london-maps-batch-2,london-maps-batch-2.csv
dcterms_spatial,london-maps-batch-2,london-maps-batch-2.csv
dc_summary,scifi-exhibit-2021,scifi-exhibit-2021.csv
