dcterms_extent,dc_format,dc_contributor,dc_subject,dcterms_spatial,dcterms_type,dcterms_temporal,dcterms_isPartOf,fedora_hasParent,fedora_lastModified,dc_title,fedora_createdBy,dcterms_abstract,dc_identifier,dc_type,ldp_contains,fedora_lastModifiedBy,dc_rights,dcterms_created,fedora_writable,fedora_created,files,tamudigital_local/details,dc_description,dc_creator
1 color print (photograph); 11X16mm,reformatted digital,Texas A & M University. College of Veterinary Medicine. Media Resources|Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Neurologic Examination|Small Animal Medicine and Surgery|Texas A & M University. College of Veterinary Medicine--Students|Veterinary students|Reflexes--Testing|Clinical Education|Women veterinary students|Dogs,College Station|Texas,StillImage,1980s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:33:28.227000+00:00,Neurologic Exam on a dog,fedoraAdmin,Two female students perform a neurological examination of the reflexes of a dog.,0010|0711,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/493/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/493/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1988-02,false,2022-12-21T18:33:28.227000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/493/pages/page_0/files/CVM_0711.jpg,"Written on photograph: ""People: Neuro exam, 2 Students , Dog. Feb 1988. Orig: 35mm color slide.""",Photograph taken during February 1988.,"Morgan, Beth"
1 black-and -white print (photograph); 10.5X8mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Shadduck, John|Texas A & M University. College of Veterinary Medicine--Faculty|Veterinary teachers|Deans (Education)",College Station|Texas,StillImage,,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T16:49:08.475000+00:00,John Shadduck,fedoraAdmin,Faculty photo of Dr. John Shadduck who was Dean of the College of Veterinary Medicine from 1990-1997.,0393|0114,Portraits|Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/184/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/184/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,false,2022-12-21T16:49:08.475000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/184/pages/page_0/files/CVM_0393.jpg,"Written on photograph: John Shadduck. Faculty photograph. Dean, College of Veterinary Medicine. Original Medium B&W Neg.",,
1 color print (photograph); 10X15mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Hunting dogs|Hunters,,StillImage,,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:16:12.374000+00:00,"Hunting, number 18",fedoraAdmin,Three unnamed men and a brown dog perch on a concrete structure or wall.,0660,Portraits|Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/443/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/443/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,false,2022-12-21T18:16:12.374000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/443/pages/page_0/files/CVM_0660.jpg,,,
1 color print (photograph); 15X10mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Bonfires|Special Events|Aggie traditions|Student activities|Texas A & M University--Students|College students--Social life and customs,College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:42:31.404000+00:00,"1995 Bonfire, number 3",fedoraAdmin,The 1995 Bonfire would be the one of the last few to burn before the tragic collapse of Bonfire 1999. The Aggie Bonfire was a Texas A&M tradition from 1909 until the last official one in 1998.,0552,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/343/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/343/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1995,false,2022-12-21T17:42:31.404000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/343/pages/page_0/files/CVM_0552.jpg,Written on photograph: Copyright 1996-TAMU photographic Services.,,"Kellett, Michael"
1 black-and -white print (photograph); 19.5X24mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Reptiles-Physiology|Education, Veterinary|Texas A & M University. College of Veterinary Medicine--Students|Snakes|Veterinary students|Kane, Dorothy J.|Women veterinary students",College Station|Texas,StillImage,1960s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T16:58:13.879000+00:00,Dorothy J. Kane,fedoraAdmin,"Dorothy Kane, a graduating student from the class of August 1970, holds a snake inside a laboratory.",0418,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/211/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/211/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Between 1965 and 1970,false,2022-12-21T16:58:13.879000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/211/pages/page_0/files/CVM_0418.jpg,,,
1 black-and-white negative; Kodak Film 5062-5 frames per strip,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Horses--Equipment and supplies|Horses--Training|Animal immobilization|Large Animal Medicine and Surgery|Horses,College Station|Texas,StillImage,1980s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:21:56.523000+00:00,"Equine Ear Twitch, number 1",fedoraAdmin,Demonstration of mild restraint.,0490,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/281/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/281/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1982-01-22,false,2022-12-21T17:21:56.523000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/281/pages/page_0/files/CVM_0490.jpg,"Written on photograph: photograph REQUEST (slip) : Sam Wigington, for the Dept. Large Animal Med. & Surg., TAMU, Breed: Appaloosa, 1 set in B W.",,
1 color negative; Kodak,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Veterinary students|Stevenson Companion Animal Life-Care Center|Women veterinary students|Small Animal Medicine|Harris, Kathleen|Stevenson Companion Animal Life-Care Center--Employees|Human-animal relationships|Dogs|Pets|Animal housing|Texas A & M University. College of Veterinary Medicine--Students",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T15:49:37.757000+00:00,"Stevenson Center Pet Residents, number 130",fedoraAdmin,"Student resident of the Stevenson Companion Animal Life-Care Center, Kathleen Harris bathes ""Orphan Annie.""",0364-12,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/131/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/131/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,false,2022-12-21T15:49:37.757000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/131/pages/page_0/files/CVM_0364-12.jpg,,,
1 black-and -white print (photograph); 25X19.5mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Texas A & M University--Alumni and alumnae|Hospitals, Animal|Farrell, Joseph Milton Jr.|Veterinarians|Farrell, Don|Dogs|Physical Examination",Arlington|Texas,StillImage,1940s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:26:31.323000+00:00,"Veterinary Practice: Farrell Brothers, number 2",fedoraAdmin,"Dr. Don Farrell (left) and brother Dr. Joseph M. Farrell, Jr. (right) examine a canine patient in the new clinic space at Farrell Brothers Animal Hospital located near Arlington, Texas. Brothers, Dr. Joseph Milton Farrell, Jr. and Dr. Don Farrell opened their veterinary practice together on August 9th, 1948 in Arlington, Texas.",0691,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/473/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/473/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1948,false,2022-12-21T18:26:31.323000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/473/pages/page_0/files/CVM_0691.jpg,Written on photograph: Two Vets with patient,,
1 color negative; Kodak,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Dogs|Pets|Animal housing|Stevenson Companion Animal Life-Care Center|Pet medicine|Small Animal Medicine,College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T15:36:24.240000+00:00,"Stevenson Center Pet Residents, number 016",fedoraAdmin,"Canine resident ""Chip"" who arrived at the center in 1998.",0360-16,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/17/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/17/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,false,2022-12-21T15:36:24.240000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/17/pages/page_0/files/CVM_0360-16.jpg,,,
1 color negative; Kodak 800 film-4 frames per strip,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Women college teachers|College teachers' spouses|Gifts|Parties|Adams, Richard H.|Kier, Ann|Special Events|Womack, James E.--Anniversaries, etc.|Womack, James E.|Veterinary teachers|Texas A & M University. College of Veterinary Medicine--Faculty|Deans (Education)|Womack, Raby",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:59:14.276000+00:00,"Womack Reception, number 24",fedoraAdmin,Dr. Adams presents Dr. Womack with an official looking chair. Ann Kier stands behind the chair and appears to be speaking with Mrs. Womack in purple. An unnamed person is seen in on far right in the background.,0610,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/393/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/393/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-07-15,false,2022-12-21T17:59:14.276000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/393/pages/page_0/files/CVM_0610.jpg,Written on photograph: Roll 1 frame 24,,
1 black-and -white print (photograph); 7.5X5mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Adams, Richard H.|Veterinary teachers|Texas A & M University. College of Veterinary Medicine--Faculty|Deans (Education)",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:04:11.935000+00:00,"Dean Adams, number 01",fedoraAdmin,"Richard Adams in a dark colored suit. After serving in the Texas A&M Corps of Cadets for four years and graduating with his DVM in 1966, Dr. Adams served as a research veterinarian and Captain in the United States Army at Fort Detrick, MD, for two years. He then received his PhD in pharmacology in 1972, from the University of Pittsburgh while also serving as research associate. In 1972, he became an assistant professor in the department of pharmacology at the University of Texas Southwestern Medical School in Dallas. In 1975, he was tenured and promoted to associate professor. In 1984, he moved to the University of Missouri-Columbia College of Veterinary Medicine where he become a professor and the chairman of the department of veterinary biomedical sciences.",0436,Photographs|Portraits,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/229/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/229/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1994,false,2022-12-21T17:04:11.935000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/229/pages/page_0/files/CVM_0436.jpg,Written on photograph: H. Richard Adams-1994,,
1 color negative; Kodak 800 film-4 frames per strip,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Parties|Special Events|Womack, James E.--Anniversaries, etc.|Veterinary teachers|Womack, James E.|Texas A & M University. College of Veterinary Medicine--Faculty",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:03:39.500000+00:00,"Womack Reception, number 37",fedoraAdmin,Possibly Dr. Gerald N. Woodes with Dr. Womack at a reception for Dr. James Womack.,0623,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/406/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/406/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-07-15,false,2022-12-21T18:03:39.500000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/406/pages/page_0/files/CVM_0623.jpg,Written on photograph: Roll 2 frame 2,,
1 color print (photograph); 10mmX15mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Presnal, Henry L.|Animal housing|Texas A & M University. College of Veterinary Medicine--Students|Veterinary students|Stevenson Companion Animal Life-Care Center|Women veterinary students|Harris, Kathleen|Stevenson Companion Animal Life-Care Center--Employees|Greenbaum, Ellie|Special Events",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T15:59:05.413000+00:00,"Stevenson Center Special Events, number 06",fedoraAdmin,"Dr. Presnal (behind), and (left to right) Ellie Greenbaum with ""Jill,"" Kathleen Harris and unnamed woman pose during a holiday celebration.",0370,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/161/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/161/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-12,false,2022-12-21T15:59:05.413000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/161/pages/page_0/files/CVM_0370.jpg,,Photograph taken during December 1999.,
1 black-and -white print (photograph); 11.5X16.5mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Special Events|Visitors, Foreign|International Educational Exchange|Lectures and lecturing|Veterinarians--Italy|Veterinary teachers--Italy|Graziosi, Dante",College Station|Texas,StillImage,1970s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:15:02.302000+00:00,"Italian Delegates' Visit, number 04",fedoraAdmin,"Dr. Dante Graziosi, president of the Italian Institute for Foreign Trade and of Italy's Veterinary Medical Association, stand at podium while delivering a lecture on agricultural production in Europe and its relationship to the United States.",0470,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/261/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/261/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1978,false,2022-12-21T17:15:02.302000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/261/pages/page_0/files/CVM_0470.jpg,,,
1 black-and -white print (photograph); 11.5X16.5mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Veterinary teachers--Italy|Graziosi, Dante|Shelton, George Calvin, 1923-|Special Events|Visitors, Foreign|International Educational Exchange|Deans (Education)|Veterinarians--Italy|Gifts|Osborne, Laura B.",College Station|Texas,StillImage,1970s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T17:14:21.902000+00:00,"Italian Delegates' Visit, number 02",fedoraAdmin,"Dr. Dante Graziosi (left), president of the Italian Institute for Foreign Trade and of Italy's Veterinary Medical Association, shakes hands with Dr. George C. Shelton (right) while three others look on. Dr. Laura B. Osborne (Professor of Physics, far right) was an interpreter during the meeting. During this occasion, Dr. Graziosi, came to Texas A&M University to present a lecture to the College of Veterinary Medicine on agricultural production in Europe and its relationship to the United States.",0467,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/259/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/259/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1978-11-04,false,2022-12-21T17:14:21.902000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/259/pages/page_0/files/CVM_0467.jpg,,,
1 color print (photograph); 10x15mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,Veterinary colleges--Missouri|Mules|Special Events|Muleteers,Columbia|Missouri,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:07:41.651000+00:00,"Rodeo-Livestock Show, number 1",fedoraAdmin,"Two unidentified individuals riding in ""Missouri Mule Team"" wagon from the College of Veterinary Medicine at the University of Missouri, Columbia during an unknown event.",0635,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/418/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/418/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1997-11-20,false,2022-12-21T18:07:41.651000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/418/pages/page_0/files/CVM_0635.jpg,,,
1 color print (photograph); 10X15mm,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Adams, Richard H.|Hunting dogs|Veterinary teachers|Texas A & M University. College of Veterinary Medicine--Faculty|Deans (Education)|Hunting",,StillImage,,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:12:28.644000+00:00,"Hunting, number 07",fedoraAdmin,Dr. Richard Adams with dog and gun.,0649,Portraits|Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/432/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/432/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,false,2022-12-21T18:12:28.644000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/432/pages/page_0/files/CVM_0649.jpg,,,
"1 color print (photograph); 9X12,5mm",reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Texas A & M University. College of Veterinary Medicine--Faculty|Deans (Education)|Hunting|Adams, Richard H.|Veterinary teachers",,StillImage,,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T18:09:44.991000+00:00,"Hunting-Dr. Adams, number 2",fedoraAdmin,Dr. Richard Adam sits on the tailgate of a truck with his game deer.,0641,Portraits|Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/424/pages|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/424/orderProxies,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,false,2022-12-21T18:09:44.991000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/424/pages/page_0/files/CVM_0641.jpg,,,
1 color negative; Kodak,reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"Pets|Animal housing|Texas A & M University. College of Veterinary Medicine--Students|Stevenson Companion Animal Life-Care Center|Cats|Small Animal Medicine|Harris, Kathleen|Stevenson Companion Animal Life-Care Center--Employees|Human-animal relationships",College Station|Texas,StillImage,1990s,College of Veterinary Medicine Image Collection,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects,2022-12-21T15:44:36.229000+00:00,"Stevenson Center Pet Residents, number 114",fedoraAdmin,"Student resident of the Stevenson Companion Animal Life-Care Center, Kathleen Harris bathes brushes Methuselah"" resident feline.",0363-17,Photographs,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/115/orderProxies|https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/115/pages,fedoraAdmin,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,false,2022-12-21T15:44:36.229000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/115/pages/page_0/files/CVM_0363-17.jpg,,,
