dc_subject:lcc,ldp_contains,dc_contributor,fedora_writable,dcterms_issued,dcterms_type,dc_language,dc_subject,dcterms_spatial,dc_description,fedora_lastModified,fedora_created,dc_title,fedora_hasParent,dc_format,dc_identifier,fedora_lastModifiedBy,dc_creator,fedora_createdBy,dc_rights,files,tamudigital_local/coordinates,dcterms_lcc
TA545 .G942 1846,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/6/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/6/orderProxies,"Gummere, John. 1784-1845.",false,1846,Text,eng,Surveying,,"Held in the Rare Books Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:26:02.880000+00:00,2022-12-14T15:26:02.880000+00:00,"A treatise on surveying: containing the theory and practice, to which is prefixed a perspicuous system of plane trigonometry : the whole clearly demonstrated and illustrated by a large number of appropriate examples, particularly adapted to the use of schools",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,778005,fedoraAdmin,"Gummere, John. 1784-1845.",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/6/pages/page_0/files/778005_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/6/pages/page_1/files/778005_2.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/6/pages/page_2/files/778005_3.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/6/pages/page_3/files/778005_4.tif,,
G3700 1850 .W9,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/53/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/53/pages,,false,1850,StillImage,eng,United States--Maps|Texas--Maps,United States|Texas,"Date of object estimated by library to be 1850.|Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:38:53.006000+00:00,2022-12-14T15:38:53.006000+00:00,The United States: & the relative position of the Oregon & Texas,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,in00004447425,fedoraAdmin,"Wyld, James, 1812-1887",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/53/pages/page_0/files/00004447425.tif,(W 125°00ʹ00ʺ--W 65°00ʹ00ʺ/N 50°00ʹ00ʺ--N 25°00ʹ00ʺ),
G4410 1597 .W97,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/33/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/33/orderProxies,,false,1597,StillImage,lat,Texas--Maps|Mexico--Maps|Mexico--Maps--Early works to 1800|Texas--Maps--Early works to 1800,Mexico|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:34:53.602000+00:00,2022-12-14T15:34:53.602000+00:00,Hispania nova,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,5966670,fedoraAdmin,"Wytfliet, Corneille",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/33/pages/page_0/files/5966670.tif,(W 109°47ʹ00ʺ--W 94°01ʹ00ʺ/N 30°01ʹ00ʺ--N 15°08ʹ00ʺ),
G4050 1812 .L4,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/37/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/37/orderProxies,"Tanner, Henry Schenck",false,1812,StillImage,eng,Louisiana--Maps|Mexico--Maps|Texas--Maps|West (U.S.)--Maps,Texas|West (U.S.)|Louisiana,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.|Date of object estimated by library to be 1812.",2022-12-14T15:35:20.765000+00:00,2022-12-14T15:35:20.765000+00:00,Louisiana,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,5966674,fedoraAdmin,"Lewis, Samuel, 1753 or 1754-1822",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/37/pages/page_0/files/5966674.tif,(W 145°--W 70°/N 65°--N 25°),
F390 .U73 1844,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/8/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/8/pages,,false,1844,Text,eng,Texas--Annexation,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:25:51.539000+00:00,2022-12-14T15:25:51.539000+00:00,"Texas: Message from the President of the United States transmitting the rejected treaty for the annexation of the Republic of Texas to the United States, together with the accompanying documents",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,1123169,fedoraAdmin,"US. President, 1841-1845 (Tyler)",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/8/pages/page_0/files/1123169.tif,,
F390 .U7 1842,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/10/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/10/orderProxies,,false,1842,Text,eng,United States--Foreign Relations--Texas|Texas--History--Republic--1836-1846,United States|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.|Date of object estimated by library to be 1842.",2022-12-14T15:26:01.878000+00:00,2022-12-14T15:26:01.878000+00:00,"Message from the President of the United States, in relation to the boundary between the United States and the Republic of Texas, January 20, 1842.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,1214433,fedoraAdmin,United States - President (1841-1845: Tyler),fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/10/pages/page_0/files/1214433.tif,,
G1015.A84 1771,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/14/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/14/pages,"Bonne, Rigobert, 1727 - 1794|Janvier, 1751-1835",false,1771-1785,StillImage,fre,"Atlases, French--Early works to 1800",,"Date of object estimated by library to be between 1771 and 1785.|Held in the Kelsey Americana Collection at the Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:28:56.649000+00:00,2022-12-16T15:28:56.649000+00:00,"Atlas moderne: ou, collection de cartes sur toutes les parties du globe terrestre",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,2023333,fedoraAdmin,,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/14/pages/page_0/files/2023333.tif,,
F390.C47 1838,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/43/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/43/orderProxies,"Hillway, Allen|Townsend, Nathaniel--1804-1864.|Houlihan, John",false,1838,Text,eng,Land settlement--Texas--History--19th Century|Land titles--Texas--History--19th Century|Deeds--lcgft.,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:37:14.052000+00:00,2022-12-14T15:37:14.052000+00:00,"Certification of land sale from John Houlihan, on the McMullen and McGloin colony, to Allen Hillway, of New Orleans, January 29, 1838",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,6426261,fedoraAdmin,,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/43/pages/page_0/files/6426261_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/43/pages/page_1/files/6426261_2.tif,,
G4031.E1 1845 .A3,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/23/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/23/orderProxies,"Hunt, Richard S.|Randel, Jesse F.|Bourgeois d'Orvanne, Alexander|Fisher, Henry F.",false,1845,StillImage,ger,Texas--Maps|Land grants--Texas--Maps|Texas--Colonies--Maps|Germans--Colonization--Texas--Maps|Texas--Emigration and immigration--Maps,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.|Date of object estimated by library to be 1845.",2022-12-16T15:28:46.593000+00:00,2022-12-16T15:28:46.593000+00:00,"Karte von Texas, entworfen nach den Vermessungen welche in den Acten der General Land Office der Republic, liegen bis zum Jahr 1839",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,5680176,fedoraAdmin,Texas General Land Office|Adelsverein,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/23/pages/page_0/files/5680176.tif,(W 101°--W 95°/N 34°--N 25°),
G4030 1858 J 63,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/60/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/60/orderProxies,,false,1858,Text|StillImage,eng,Texas--Maps,Texas,"Held in the Mary and Mavis P. Kelsey Americana Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:36:41.812000+00:00,2022-12-16T15:36:41.812000+00:00,Johnson's New Map of the State of Texas,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,,fedoraAdmin,Johnson and Ward,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/60/pages/page_0/files/1568454_a.tif,(W 106°50ʹ--W 92°40ʹ/N 34°10ʹ--N 25°50ʹ),
G4050 1846 .M5,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/27/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/27/pages,"Burroughs, H. N.",false,1846,StillImage,eng,Historical geography|West United States|West (U.S.)--Historical geography--Maps,West (U.S.),"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-20T16:40:04.151000+00:00,2022-12-20T16:40:04.151000+00:00,"A new map of Texas, Oregon, and California with the regions adjoining",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,5934326,fedoraAdmin,"Mitchell, S. Augustus (Samuel Augustus), 1792-1868",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/27/pages/page_0/files/5934326.tif,(W 133°--W 87°/N 55°--N 26°),
G4410 1851 .R6,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/40/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/40/orderProxies,Rosa (Paris),false,1851,StillImage,spa,Texas--Maps|Southwestern States--Maps|Mexico--Maps,Mexico|Southwestern States|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-20T16:48:44.420000+00:00,2022-12-20T16:48:44.420000+00:00,Mapa de los Estados Unidos Mejicanos: arreglado a la distribucion que en diversos decretos ha hecho del territorio el Congreso General Mejicano,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,6275054,fedoraAdmin,,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/40/pages/page_0/files/6275054.tif,(W 125°--W 85°/N 43°--N 15°),
,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/11/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/11/pages,United States--Army--Corps of Engineers,false,1810,Text|Still Image,eng,"West (U.S)--Description and Travel|Southwest, New--Description and Travel|Mississippi River--Description and Travel|United States--Discovery and Exploration","Mississippi River|United States|Southwest, New|West (U.S.)","Held in the Floyd and Louise Chapman Texas and Borderlands Collection at Cushing Memorial Library and Archives on the campus of Texas A and M University, College Station, Texas.",2022-12-16T15:26:28.591000+00:00,2022-12-16T15:26:28.591000+00:00,"An account of expeditions to the sources of the Mississippi and through the western parts of Louisiana, to the sources of the Arkansaw, Kans, La Platte, and Pierre Jaun, rivers: performed by order of the government of the United States during the years 1805, 1806, and 1807...",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,1294478,fedoraAdmin,"Pike, Zebulon Montgomery, 1779-1813",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/11/pages/page_0/files/1294478_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/11/pages/page_1/files/1294478_2.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/11/pages/page_2/files/1294478_3.tif,,F592 .P63 1810
VK597.U5 U56 1846,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/64/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/64/pages,"ÊBache, A. D. (Alexander Dallas), 1806-1867|Walker, Robert J. (Robert John), 1801-1869",false,1846,text,eng,Hydrographic surveying--United States|Coastal mapping--United States,,"Held in the Rare Books Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:42:05.731000+00:00,2022-12-14T15:42:05.731000+00:00,"Report of the Secretary of the Treasury communicating a report from the Superintendant of the Coast Survey, showing the progress of the survey during the year ending November, 1846.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,,fedoraAdmin,United States. Department of the Treasury,fedoraAdmin,A copyright review process in August 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/64/pages/page_0/files/Coastal_Survey001.tif,,
F391.B796 1858,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/15/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/15/pages,,false,1858,Text,eng,Texas,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:27:04.946000+00:00,2022-12-14T15:27:04.946000+00:00,Braman's information about Texas,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,2703188,fedoraAdmin,"Braman, D. E. E.",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/15/pages/page_0/files/2703188_1.tif,,
G4030 1835 .B7,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/44/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/44/orderProxies,,false,1835,StillImage,eng,Roads--Texas--Maps|Texas--Maps|Texas--19th century--Maps|Land grants--Texas--Maps|Indians of North America--Texas--Maps,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:37:14.825000+00:00,2022-12-14T15:37:14.825000+00:00,Texas,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,6441913,fedoraAdmin,"Bradford, T. G. (Thomas Gamaliel), 1802-1887",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/44/pages/page_0/files/6441913_a.tif,(W 105°--W 94°/N 34°--N 26°),
,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/58/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/58/orderProxies,,false,1873-1882,StillImage|Text,eng,Surveying--Texas|Texas--Maps|New Mexico--Maps|Surveying--New Mexico,Texas|New Mexico,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.|Date of object determined by library to be between 1873-1882.",2022-12-14T15:40:20.181000+00:00,2022-12-14T15:40:20.181000+00:00,"Manuscript journal of maps: Surveying Texas & New Mexico,",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,,fedoraAdmin,"Baue, Emil A.",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/58/pages/page_0/files/Baue_map.tif,,
G4410 1825 .H3,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/48/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/48/pages,"Duncan, James.",false,1825,StillImage,eng,Southwestern States--Maps|Central America--Maps|Mexico--Maps|Texas--Maps,Central America|Mexico|Southwestern States|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:38:01.332000+00:00,2022-12-14T15:38:01.332000+00:00,Map of Mexico: engraved for the modern traveller,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,6495232,fedoraAdmin,"Hall, Sidney",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/48/pages/page_0/files/6495232.tif,(W 120°--N 80°/N 35°--N 10°),
G4050 1858 .J45,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/39/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/39/pages,"Michler, N.|Emory, William H.|United States General Land Office|Pacific Railroad Company|Siebert, Selmar|United States Coast Survey",false,1858,StillImage,eng,"United States--Maps|Mexico, North--Maps|West (U.S.)--Maps|Texas--Maps",North Mexico|West United States|United States|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.|Date of object estimated by library to be 1858.",2022-12-16T15:32:56.993000+00:00,2022-12-16T15:32:56.993000+00:00,Map of the United States and their territories between the Mississippi and the Pacific Ocean and part of Mexico,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,5966677,fedoraAdmin,"Jekyll, Thomas",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/39/pages/page_0/files/TN27940.tif,(W 122°--W 90°/N 48°--N 24°),
