dc_type,dc_identifier,ldp_contains,dcterms_accessRights,fedora_created,dc_publisher,tamudigital_local/details,fedora_hasParent,dcterms_created,dc_format,fedora_createdBy,dcterms_extent,dcterms_type,dcterms_medium,dc_rights,fedora_lastModifiedBy,fedora_writable,dc_subject,dc_title,fedora_lastModified,files,dcterms_spatial,dc_creator,dc_relation
Non-patterned Paste papers|Laid lines|art reproduction,12403,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/68/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/68/pages,Openly accessible,2021-06-16T14:27:17.866000+00:00,Texas A & M University. Libraries,Distribution of fibers; Surface application; Laid; Paste; P4.D6.F7; Laid paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.G.2; Not signed. Not stamped. Not stickered. Not embossed.; Creased; wrinkled; folded; small holes; stained on recto; spot stains on verso,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Circa 1740,reformatted digital,fedoraAdmin,1 sheet of red and cream paste paper; 13.75 x 18.00 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12403,2021-06-16T14:27:17.866000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/68/pages/page_0/files/12403.jpg,,,
art reproduction|Non-patterned Paste papers,12399,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/64/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/64/orderProxies,Openly accessible,2021-06-16T14:26:23.453000+00:00,Texas A & M University. Libraries,Distribution of fibers; Surface application; Laid; Paste; P4.D6.F7; Laid paper; See Haemmerle p. 123; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.G.2; Not signed. Not stamped. Not stickered. Not embossed.; Creased; folded; small holes; stained on recto; 2 pieces joined on verso; ink on verso,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Circa 1740,reformatted digital,fedoraAdmin,1 sheet of dark blue and cream paste paper; 14.50 x 22.00 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12399,2021-06-16T14:26:23.453000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/64/pages/page_0/files/12399.jpg,,,
Block-printed papers|Deckled edges|Laid lines|art reproduction,12396,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/61/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/61/pages,Openly accessible,2021-06-16T14:25:42.614000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Deckled; Laid; Printed; P4.D6.F7; Overall geometric pattern with diamond and circle designs; 3 blue borders; varnished finish on recto; laid paper; deckled; inscription on piece: ""Kattunpapier, um 1840 s Hammerle Ex. Slg. Hammerle""; Contained in small folder created by folded sheet of white paper; [written in pencil on recto of folded sheet]: ""Kattundruck von Hand grostencils aus seg Haemmerle""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.C; II.E; VIII.H.1; Not signed. Not stamped. Not stickered. Not embossed.; Torn; center fold line; ink on verso",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Circa 1840,reformatted digital,fedoraAdmin,"1 sheet of blue, black, bronze, white and cream block-printed paper; 14.25 x 17.50 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12396,2021-06-16T14:25:42.614000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/61/pages/page_0/files/12396.jpg,,,
art reproduction|Printed papers,12378,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/49/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/49/pages,Openly accessible,2021-06-16T14:22:56.256000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P4.D6.F7; Series of 26 images of figures posed to depict an alphabet  No 13.""; hand colored print on light weight wove paper; Inscription on original piece: ""V Stadem Amsterdam +/- 1860""; [written in pencil on verso]: ""1294 MB""; Contained in a white folder marked in pencil: ""18th century Printed etc.""; ; Sidney E. Berger and Michele V. Cloonan purchased the sheet.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H; Not signed. Not stamped. Not stickered. Not embossed.; Folded and creased; wrinkled overall; backed with thin sheet of paper; edge tears; repair tape on verso",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Circa 1860,reformatted digital,fedoraAdmin,"1 sheet of black, blue, purple, yellow and cream printed paper; 15.50 x 12.00 in.",StillImage|Text,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12378,2022-05-18T23:29:12.183000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/49/pages/page_0/files/12378.jpg,Netherlands--Amsterdam,,
Non pareil marbled papers|art reproduction|nonpareil marbled paper|endpapers,10300,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/21/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/21/orderProxies,Openly accessible,2021-06-16T14:16:33.315000+00:00,Texas A & M University. Libraries,Surface application; Marbled; P1.D4.F3; Previously used as an endpaper in a bookbinding; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.; Curled; fragile,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,19th century [?],reformatted digital,fedoraAdmin,"1 sheet of dark red, light blue, green, pink and white marbled paper; 8.50 x 11.25 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Marbled papers,Berger-Cloonan #10300,2021-06-21T22:52:19.415000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/21/pages/page_0/files/10300.jpg,,,P1.D4.F3.A
Gold gilt papers|Laid lines|art reproduction,12312|5428,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/38/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/38/orderProxies,Openly accessible,2021-06-16T14:20:25.766000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F2; Overall pattern of diamond and oval design; gold over carmine paste; laid paper; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 98, Lot #5428) in 12/2011; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Not stamped.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Circa 1790 [?],reformatted digital,fedoraAdmin,"1 sheet of red, gold and off-white Dutch gilt paper; 14.50 x 17.75 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12312,2021-06-16T14:20:25.766000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/38/pages/page_0/files/12312.jpg,,,
endpapers|art reproduction|Zebra marbled papers,10299,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/20/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/20/pages,Openly accessible,2021-06-16T14:16:19.656000+00:00,Texas A & M University. Libraries,Surface application; Marbled; P1.D4.F3; Previously used as an endpaper in a bookbinding; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.i; Not signed. Not stamped.; Discolored; curling; edges chipped and torn; fragile,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,19th century [?],reformatted digital,fedoraAdmin,"1 sheet of dark red, blue, yellow and white marbled paper; 6.25 x 10.00 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Marbled papers,Berger-Cloonan #10299,2023-11-09T17:11:12.221000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/20/pages/page_0/files/10299.jpg,,,P1.D4.F3.A
Deckled edges|Laid lines|art reproduction|Block-printed papers,12391,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/60/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/60/pages,Openly accessible,2021-06-16T14:25:28.917000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Deckled; Laid; Printed; P4.D6.F7; Overall lace-like pattern with repeating rows of design; 3 blue borders; laid paper; deckled; highly varnished finish on recto; inscription on piece: ""kattunpapier Werkdeutsche um 1770s, Hammerle Abb. 129ex Slg Hammerle""; Contained in small folder created by folded sheet of white paper, [written in pencil on recto of folded sheet] ""Kattundruck von Hand grostencils aus seg Haemmerle""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.C; II.E; VIII.H.1; Not signed. Not stamped. Not stickered. Not embossed.; Creased; fold line at center; ink on verso",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Circa 1770,reformatted digital,fedoraAdmin,"1 sheet of blue, white, black and cream block-printed paper; 13.50 x 18.00 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12391,2021-06-16T14:25:28.917000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/60/pages/page_0/files/12391.jpg,,,
Block-printed papers|art reproduction,12421,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/85/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/85/pages,Openly accessible,2021-06-16T14:31:18.723000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P4.D6.F7; Ream wrapper printed in red and gold inks for English letter paper; inscription on piece: ""1530 - P SAB 886 95.-"" [written in black in on verso]:""Gazette de Leyde 1788 bufbr. suppl. 11. 42 m. 5. 44/46 m. G. 40 m. G.""; [written in pencil on verso]: ""g5 - 104""; Sidney E. Berger and Michele V. Cloonan purchased the sheet.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1; Not signed. Not stamped. Not stickered. Not embossed.; Creased; wrinkled; torn; stained and discolored on recto and verso; adhesive remnants on recto and verso",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Circa 1850,reformatted digital,fedoraAdmin,"1 sheet of red, gold and tan block-printed paper; 17.25 x 23.50 in.",Text|StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12421,2021-06-16T14:31:18.723000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/85/pages/page_0/files/12421.jpg,England,,
Gold gilt papers|Laid lines|art reproduction,12308|5426,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/34/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/34/orderProxies,Openly accessible,2021-06-16T14:19:30.799000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F2; Overall pattern of 6 rows of workers and their professions; gold over brown paste; laid paper; Contained in BASSENGE folder; Not in Haemmerle?; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 98, Lot #5426) in 08/2011.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Not stamped.; Side tear",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Circa 1750,reformatted digital,fedoraAdmin,"1 sheet of brown, gold and off-white Dutch gilt paper; 13.25 x 15.50 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12308,2021-06-16T14:19:30.799000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/34/pages/page_0/files/12308.jpg,,,
Gold gilt papers|art reproduction,5407|12307,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/33/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/33/pages,Openly accessible,2021-06-16T14:19:17.078000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F2; Overall pattern of birds, dogs, men, etc. in overlapping circles; gold over white background; laid paper; stamped in block on recto: ""JOHANN MICHAEL MUNCK AUGSPURG No 10""; Contained in BASSENGE folder; See Haemmerle #238; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 97, Lot #5407) in 08/2011.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Stamped; Small tear at top with small loss of paper",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,1735,reformatted digital,fedoraAdmin,1 sheet of gold and off-white Dutch gilt paper; 13.75 x 17.25 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12307,2022-05-18T23:47:22.085000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/33/pages/page_0/files/12307.jpg,Germany--Augsburg,"Munck, Johann Michael",
Laid lines|art reproduction|Dribbled paste papers,12408,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/73/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/73/pages,Openly accessible,2021-06-16T14:28:33.226000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Paste; P4.D6.F7; Hernhuter (monastery near Leipzig)paper used as book cover with plain green paper backing; speckled or dribbled design; laid paper; inscription on piece: ""Register for Sterbe Achten for Grammar Heilingenmoschel lire 1821"" [line design]; [written in red pencil on ecto of white scalloped label affixed to recto]: ""Heilingenmoschel""; Barry McKay donated the sheet to Sidney E. Berger and Michele V. Cloonan circa 2002.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.G.2.b; Not signed. Not stamped. Stickered. Not embossed.; Discolored and worn where creased for binding; slightly worn corner; 2 pieces joined; green backing paper stained, discolored and wrinkled",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Mid 18th century,reformatted digital,fedoraAdmin,"1 book cover (3 images, front, inside view, back); green and white paste paper; 13.75 x 19.75 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12408,2021-06-21T21:32:15.212000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/73/pages/page_0/files/12408a.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/73/pages/page_1/files/12408b.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/73/pages/page_2/files/12408c.jpg,Germany,,
art reproduction|marbled paper|Random marbled papers,7011,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/4/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/4/orderProxies,Openly accessible,2021-06-16T14:12:55.534000+00:00,Texas A & M University. Libraries,"Surface application; Marbled; M5.D5.F16; Previously used as an endpaper in a bookbinding; inscription on piece: ""DISCHARGE BOOK. Master of the Institution at  No, in List, Form 15A. Shaw & Sons Ltd., Fetter Lane, E.C.4 Q76  S1267 (B)Day of the Week. Last Meal before Discharge. NAME. DISCHARGED. MEN. WOMEN. CHILDREN UNDER 16. Sick Ward  Other Wards [repeated for each category) CLASS FOR DIET. MEN. WOMEN. 1 1a 2 2a 2b   3 3a 4 4a  4b 5 CHILDREN. 3 to 8  8 to 16  Under 3 5 6 7 M  F  M  F M  F Sick Observations.""; Ledger on verso; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4; Not signed. Not stamped.; Creased and torn corners; black stain on recto; slight yellowing on verso.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,19th century,reformatted digital,fedoraAdmin,"1 sheet of light brown, cream and white marbled paper; 11.00 x 13.00 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Marbled papers,Berger-Cloonan #7011,2021-06-16T14:12:55.534000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/4/pages/page_0/files/07011.jpg,,,
Laid lines|art reproduction|Block-printed papers|Deckled edges,12389,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/58/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/58/orderProxies,Openly accessible,2021-06-16T14:25:01.557000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Deckled; Laid; Printed; P4.D6.F7; Overall mid-size floral pattern with 4 cream borders; laid paper; deckled; inscription on piece: ""kattunpapier deutsche, um 1760 s Hammerle, Abb. 132 ex Slg Hammerle 9u""; Contained in small folder created by folded sheet of white paper; [written in pencil on recto of folded sheet]: ""Kattundruck von Hand grostencils aus seg Haemmerle""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.C; II.E; VIII.H.1; Not signed. Not stamped. Not stickered. Not embossed.; Hole; ink on verso",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Circa 1760,reformatted digital,fedoraAdmin,"1 sheet of black, purple, red, yellow and cream block-printed paper; 14.75 x 17.75 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12389,2021-06-16T14:25:01.557000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/58/pages/page_0/files/12389.jpg,,,
Deckled edges|Watermarks|Laid lines,12375,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/47/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/47/orderProxies,Openly accessible,2021-06-16T14:22:28.995000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Deckled; Laid; Watermarked; P4.D6.F7; Laid paper; 2 watermarks include a sun with rays and the letter ""R"" below and the letters ""R"" and ""G"" superimposed with the ""R"" on top; deckled; NOTIFICATZIONE printed in Italian in black ink on recto 1733; inscription on piece: ""A 110""; [written in pencil on verso]: ""5000""; Photograph taken with the aid of a light table. The false image color more accurately captures the details of the laid paper and associated watermark(s).; Sidney E. Berger and Michele V. Cloonan purchased the sheet.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.C; II.E; II.H; Not signed. Not stamped. Not stickered. Not embossed.; Folded; creased; slightly discolored; spotted appearance on verso; stored in white folder",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Circa 1733,reformatted digital,fedoraAdmin,1 sheet of black and tan laid watermarked paper; 12.50 x 17.00 in.,StillImage|Text,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12375,2021-06-16T14:22:28.995000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/47/pages/page_0/files/12375.jpg,,,
art reproduction|Block-printed papers,12386,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/57/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/57/orderProxies,Openly accessible,2021-06-16T14:24:47.909000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P4.D6.F7; Wove paper; series of boxes with letters of the alphabet; possibly a child's game; great registration; thin paper; inscription on piece: ""L.A. Book Fair 2/14/98""; Contained in a white folder marked in pencil: ""18th century Printed etc.""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1; Not signed. Not stamped. Not stickered. Not embossed.; Torn; creased; ink on verso",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects,Early 19th century,reformatted digital,fedoraAdmin,"1 sheet of dark blue, gold and cream block-printed paper; 19.50 x 12.75 in.",Text|StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",fedoraAdmin,false,Decorative paper,Berger-Cloonan #12386,2021-06-16T14:24:47.909000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/57/pages/page_0/files/12386.jpg,,,
