dc_subject,dc_format,fedora_created,ldp_contains,dc_summary,fedora_lastModified,dc_identifer,dc_creator,dc_type,fedora_createdBy,dcterms_extent,dc_language,dcterms_type,dc_rights,fedora_hasParent,dc_title,dcterms_isPartOf,dc_description,dc_publisher,fedora_lastModifiedBy,dcterms_issued,fedora_writable,files,dc_contributor
Silent running (Motion picture : 1972)|United States|Science fiction films,reformatted digital,2022-11-16T21:55:56.453000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/104/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/104/orderProxies,Movie poster of the 1972 movie Silent Running,2022-11-16T21:55:56.453000+00:00,,,film posters|Posters,fedoraAdmin,1 poster with colored illustrations and text; 49 x 33 cm,eng,StillImage,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,"""Silent running"" : amazing companions on an incredible adventure ... that journeys beyond imagination!",Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Universal Pictures,fedoraAdmin,1972,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/104/pages/page_0/files/SilentRunning.jpg,
Batman (Fictitious character)|Good and evil|Ecoterrorism|Superheroes|Poison Ivy (Fictitious character),reformatted digital,2022-11-16T21:57:04.756000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/20/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/20/orderProxies,"One of Batman's deadliest enemies, Poison Ivy is an eco-terrorist who obsesses over plant life and utilizes natural toxins as a weapon. Able to pull from her surrounding environment to take down her enemies, Poison Ivy has a lethal advantage. One of Batman's Rogues Gallery, she has been battling the Dark Knight for decades of comics. Either solo or with the help of her best friend, Harley Quinn, Poison Ivy will stop at nothing to get what she wants.",2022-11-16T21:57:04.756000+00:00,5970022,,Superhero comics|Graphic novels|Ecofiction|book jackets,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Batman Arkham,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",DC Comics,fedoraAdmin,[2016],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/20/pages/page_0/files/Scifi2021Batman.jpg,
"Short stories, American|Science fiction|Fantasy fiction|Pulp literature, American",reformatted digital,2022-11-16T22:00:38.792000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/83/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/83/orderProxies,"The cover of the August 1973 issue of the pulp magazine ""Amazing Science Fiction"" featured the caption: ""To Walk with Thunder, Dean McLaughlin."" Other stories featured in this issue included: ""The Once and Always War"" by Gerard F. Conway, ""The Wind She Does Fly Wild"" by Alpajpuri, ""They Roar"" by Clark Cox, and ""Up Against the Wall"" by Robert Thurston.",2022-11-16T22:00:38.792000+00:00,5140519,"McLaughlin, Dean, 1931-",Science fiction|Fantasy fiction|Periodicals|Short stories,fedoraAdmin,Magazine cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Amazing science fiction [August 1973 issue]: To walk with thunder,Science Fiction & Fantasy Research Collection,"Front cover image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Ultimate Pub. Co.,fedoraAdmin,[1973],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/83/pages/page_0/files/Scifi2021McLaughlinTo.jpg,
Extrasensory perception|Teenage girls|Environmental disasters|Women psychotherapists,reformatted digital,2022-11-16T21:56:31.364000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/15/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/15/pages,"While working with a sixteen-year-old who has been incarcerated for murder, Gabrielle, a therapist, is alarmed by parallels between her client's paranoid fantasies and an escalating series of natural disasters.",2022-11-16T21:56:31.364000+00:00,3546439,"Jensen, Liz, 1959-",Ecofiction|book jackets|Fantasy fiction|Psychological fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,The rapture,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition in the United States of America held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Doubleday,fedoraAdmin,[2009],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/15/pages/page_0/files/Scifi2021JensenRapture.jpg,
Aquaman (Motion picture)|United States|Superhero films,reformatted digital,2022-11-16T21:55:56.501000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/105/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/105/pages,Movie poster of the 2018 movie Aquaman,2022-11-16T21:55:56.501000+00:00,,,Posters|film posters,fedoraAdmin,1 poster with colored illustrations and text; 92 x 61 cm,eng,StillImage,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,"Aquaman, only in theaters December 21 : home is calling",Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",DC Comics,fedoraAdmin,2018,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/105/pages/page_0/files/Aquaman.jpg,
"Short stories, American|Science fiction",reformatted digital,2022-11-16T22:01:06.473000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/84/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/84/orderProxies,"This anthology Includes three stories: ""How it was when the past went away"" by Robert Silverber, "" The eve of RUMOKO"" by Roger Zelazny, and "" We all Die Naked"" by James Blish. In this exhibition, a digitized copy of the first page of ""We all Die Naked"" by James Blish was featured.",2022-11-16T22:01:06.473000+00:00,1248365,"Silverberg, Robert|Blish, James|Zelazny, Roger",book jackets|Novellas|Science fiction|Short stories,fedoraAdmin,Book cover + 1 page,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Three for tomorrow : three original novellas of science fiction,Science Fiction & Fantasy Research Collection,"Front cover image of the Book club edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Meredith Press,fedoraAdmin,[1969?],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/84/pages/page_0/files/Scifi2021Three_1.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/84/pages/page_1/files/Scifi2021Three_2.jpg,
Dystopias|United States--Louisiana|Young women|Civil war,reformatted digital,2022-11-16T22:01:11.981000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/92/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/92/pages,"In this debut novel featuring  a second American Civil War, a devastating plague, and one family caught deep in the middle, the story  asks what might happen if America were to turn its most devastating policies and deadly weapons upon itself. Sarat Chestnut, born in Louisiana, is only six when the Second American Civil War breaks out in 2074. But even she knows that oil is outlawed, that Louisiana is half underwater, and that unmanned drones fill the sky. When her father is killed and her family is forced into Camp Patience for displaced persons, she begins to grow up shaped by her particular time and place. But not everyone at Camp Patience is who they claim to be. Eventually Sarat is befriended by a mysterious functionary, under whose influence she is turned into a deadly instrument of war. The decisions that she makes will have tremendous consequences not just for Sarat but for her family and her country, rippling through generations of strangers and kin alike.",2022-11-16T22:01:11.981000+00:00,5431241,"El Akkad, Omar, 1982-",Science fiction|War fiction|Dystopian fiction|book jackets,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,American war,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Alfred A. Knopf,fedoraAdmin,2017,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/92/pages/page_0/files/Scifi2021El%20AkkadAmerican.jpg,
Survival|Insurgency|Environmental degradation,reformatted digital,2022-11-16T21:58:14.461000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/45/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/45/orderProxies,"In a barren land, a shimmering glass dome houses the survivors of the Switch, the period when oxygen levels plunged and the green world withered. A state lottery meant a lucky few won safety, while the rest suffocated in the thin air. And now Alina, Quinn, and Bea--an unlikely trio, each with their own agendas, their own longings and fears--walk straight into the heart of danger. With two days' worth of oxygen in their tanks, they leave the dome. What will happen on the third day?",2022-11-16T21:58:14.461000+00:00,4024429,"Crossan, Sarah",Ecofiction|book jackets|Science fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Breathe,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Greenwillow Books,fedoraAdmin,[2012],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/45/pages/page_0/files/Scifi2021CrossanBreathe.jpg,
Diseases|Epidemics|Genetic engineering,reformatted digital,2022-11-16T21:58:14.483000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/46/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/46/orderProxies,"""Bringing together characters from Oryx and Crake and The Year of the Flood, this thrilling conclusion to Margaret Atwood's speculative fiction trilogy confirms the ultimate endurance of humanity, community, and love. Months after the Waterless Flood pandemic has wiped out most of humanity, Toby and Ren have rescued their friend Amanda from the vicious Painballers. They return to the MaddAddamite cob house, which is being fortified against man and giant Pigoon alike. Accompanying them are the Crakers, the gentle, quasihuman species engineered by the brilliant but deceased Crake. While their reluctant prophet, Jimmy--Crake's one-time friend--recovers from a debilitating fever, it's left to Toby to narrate the Craker theology, with Crake as Creator. She must also deal with cultural misunderstandings, terrible coffee, and her jealousy over her lover, Zeb. Meanwhile, Zeb searches for Adam One, founder of the God's Gardeners, the pacifist green religion from which Zeb broke years ago to lead the MaddAddamites in active resistance against the destructive CorpSeCorps. Now, under threat of an imminent Painballer attack, the MaddAddamites must fight back with the aid of their newfound allies, some of whom have four trotters. At the center is the extraordinary story of Zeb's past, which involves a lost brother, a hidden murder, a bear, and a bizarre act of revenge. Combining adventure, humor, romance, superb storytelling, and an imagination that is at once dazzlingly inventive and grounded in a recognizable world, MaddAddam is vintage Margaret Atwood, and a moving and dramatic conclusion to her internationally celebrated dystopian trilogy.|A conclusion to the MaddAddam trilogy finds Toby and Ren returning to the MaddAddamite cob house after rescuing Amanda and assuming the duties of the Craker's religious overseers while Zeb searches for the founder of the pacifist green religion he left years earlier.",2022-11-16T21:58:14.483000+00:00,5851973,"Atwood, Margaret, 1939-",Science fiction|Ecofiction|book jackets,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Maddaddam,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Bloomsbury,fedoraAdmin,2013,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/46/pages/page_0/files/Scifi2021AtwoodMaddAddam.jpg,
Time travel|Life on other planets|Pollution|Space colonies|Interplanetary voyages,reformatted digital,2022-11-16T21:58:48.677000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/54/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/54/pages,"After rendering the planet unlivable, humankind begins to colonize a new blue planet, and heroine Billie Crusoe embarks on a personal odyssey into the future, in an adventure that explores humankind's relationship to the environment, power, and technology.",2022-11-16T21:58:48.677000+00:00,2993231,"Winterson, Jeanette, 1959-",Ecofiction|book jackets|Science fiction|Psychological fiction|Romance fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,The stone gods,Science Fiction & Fantasy Research Collection,"Book jacket image of the First U.S. edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Harcourt,fedoraAdmin,[2007],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/54/pages/page_0/files/Scifi2021WintersonThe.jpg,
Sea levels|Floods|End of the world|Climatic changes,reformatted digital,2022-11-16T21:58:47.682000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/5/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/5/pages,"Four hostages are finally released, but they face a world suddenly inundated as vast amounts of water is released from the earth's mantle. As the world's cities and countries disappear under the rising seas, humanity faces unimaginable global disaster.",2022-11-16T21:58:47.682000+00:00,6273542,"Baxter, Stephen",Science fiction|Apocalyptic fiction|Ecofiction|book jackets,fedoraAdmin,Book cover,eng,Text|StillImage,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Flood,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",New American Library,fedoraAdmin,[2009],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/5/pages/page_0/files/Scifi2021BaxterFlood.jpg,
Regression (Civilization)|Solar activity|Survival|Pennsylvania--Lancaster County|Disasters|Amish,reformatted digital,2022-11-16T21:58:47.222000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/49/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/49/pages,"An Amish community in Pennsylvania is caught up in the devastating aftermath of a catastrophic solar storm and the subsequent collapse of modern civilization as the Englishers in the nearby cities begin to invade their farms. Jacob's Amish community in Pennsylvania is caught up in the violence, but defense is hindered by their beliefs. In protecting his family, will Jacob defy his beliefs and take up arms? His diary details his conflicts, both physical and internal.",2022-11-16T21:58:47.222000+00:00,5526148,"Williams, David (David Gerald), 1969-",book jackets|Apocalyptic fiction|Diary fiction|Ecofiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,When the English fall : a novel,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Algonquin Books of Chapel Hill,fedoraAdmin,2017,false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/49/pages/page_0/files/Scifi2021WilliamsWhen.jpg,
Missing persons|Storms|Dystopias|City and town life,reformatted digital,2022-11-16T21:56:30.752000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/13/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/13/orderProxies,"""Rising high above the frigid waters, the ocean city of Osiris has been cut off from the land since the Great Storm 50 years ago. Most believe that Osiris is the last city on Earth. Adelaide is the black-sheep granddaughter of the city's Architect. A jaded socialite, she wants little to do with her powerful relatives--until her troubled twin brother disappears mysteriously. Vikram, a third-generation storm refugee, sees his own people dying of cold and starvation. He hopes to use Adelaide to bring about much-needed reforms--but who is using whom? As another brutal winter brings Osiris closer to riot and revolution, two very different people attempt to bridge the gap dividing the city, only to find a future far more complicated than either of them ever imagined.""--Amazon.com.",2022-11-16T21:56:30.752000+00:00,5968902,"Swift, E. J. (Emma J.)",Dystopian fiction|Ecofiction|book jackets|Science fiction,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Osiris,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Night Shade Books,fedoraAdmin,[2012],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/13/pages/page_0/files/Scifi2021SwiftOsiris.jpg,
Pollution|Superheroes|Swamp Thing (Fictitious character)|Monsters,reformatted digital,2022-11-16T21:57:05.002000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/21/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/21/orderProxies,"Book one: ""Created by a freak accident, the Swamp Thing is an elemental creature who uses the forces of nature and wisdom of the plant kingdom to rail against a polluted world's self-destruction""--Amazon.com; Book two: ""The Earth Elemental says goodbye to the illusion of his own humanity after learning that he is 100 percent plant, meets a crew of benevolent alien invaders inspired by the classic swamp-based comic strip Pogo, and consummates his relationship with Abigail Arcane as only he could."" -- Publisher's website ; Book three: ""[T]his third volume is brimming with visceral horrors including underwater vampires, a werewolf with an unusual curse, and the debut of John Constantine"" -- publisher's website ; Book four: ""[I]n which Swamp Thing's quest for self-discovery comes to its shattering conclusion. A harbinger of doom has been released with the sole charge of waking an evil beyond comprehension, and John Constantine, Deadman, The Phantom Stranger, The Specter and other masters of the occult must unite."" -- publisher's website ; Book five: ""Swamp Thing returns from his sojourn to hell, only to learn that Abby has fled Gotham City, where he runs afoul of Batman, Lex Luthor and the Gotham City Police Department."" -- Publisher's website ; Book six: ""This collection ... begins across the galaxy, where the Swamp Thing's consciousness has been hurled. Trying to find his way back to Earth, Swamp Thing stops over on Thanagar, home of Hawkman; Rann, home of Adam Strange; and encounters the Green Lantern of a world of sentient plants"" -- Publisher's website.",2022-11-16T21:57:05.002000+00:00,3849235,"Moore, Alan, 1953-",book jackets|Horror comics|Superhero comics|Graphic novels|Ecofiction|Science fiction comics,fedoraAdmin,Book cover,eng,StillImage|Text,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects,Saga of the Swamp Thing,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",Vertigo|DC Comics,fedoraAdmin,[2014],false,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f_objects/21/pages/page_0/files/Scifi2021MooreSaga.jpg,
