dcterms_extent,dc_format,dc_description,fedora_lastModifiedBy,dc_language,dc_rights,fedora_lastModified,dc_title,fedora_created,dc_contributor,fedora_writable,fedora_hasParent,dc_type,dcterms_type,dc_identifier,dc_subject,ldp_contains,dc_coverage,dc_creator,dc_publisher,dc_date,dcterms_lcc,fedora_createdBy,files,dcterms_spatial
"maps some color sheets 73 x 106 cm., or smaller",application/tif|reformatted digital,"Some sheets have ms. annotations|Reprinted in various years|Detailed topographic survey of London (England) showing location and names of public buildings, antiquity sites and boundaries of administrative divisions. Relief shown by spot heights|Scale [ca. 1:1,056]. Five feet to one statute mile or 88 feet to one inch|Cartographic material|Index to series available",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:15:45.469000+00:00,London: edition of 1894-96.,2023-11-13T21:15:45.469000+00:00,,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic Image,4036806,London (England)--Maps,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/47/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/47/orderProxies,London (England)--Maps,Great Britain Ordnance Survey,Photozincographed and published by the Director General at the Ordnance Survey Office,1894-1896.,G5754.L7 s1 1894 .G7,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/47/pages/page_0/files/londonmaps_4036806_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/47/pages/page_1/files/londonmaps_4036806_2.jpg,
map 53 x 82 cm. on 2 sheets 64 x 48 cm. and 63 x 47 cm,application/tif|reformatted digital,"Exact surveigh of the streets, lanes, and churches contained within the ruines of the city of London|Cushing Library copy is part of the Stephen Powys Marks London Collection|Includes ""The prospect of this citty, as it appeared from the opposite Southwarke side, in the fire time,"" indexes to points of interest and wards, and City of London coat of arms|Has watermark|Facsimile|Cartographic material|""Ionas Moore & Ralph Graterix, surveyors.""|Scale ca. 1:3,700|""The right honourable S. William Turner, the Lord Major, ao. 1669.""|Bird's-eye-view|Alternate title: Plan of London after the fire",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:13:48.555000+00:00,"An exact svrveigh of the streets, lanes, and chvrches contained within the rvines of the city of London",2023-11-13T21:13:48.555000+00:00,"London Topographical Society|Hollar, Wenceslaus, 1607-1677",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Aerial views,Cartographic image,2578428,London (England)--Aerial views--Early works to 1800--Facsimiles,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/4/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/4/orderProxies,London (England)--Aerial views--Early works to 1800--Facsimiles,"Leake, John","Nathanaell Brooke, stationer London Topographical Society",[1669?] 1908-1909.,G5754.L7A3 1667 .L4 1908,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/4/pages/page_0/files/londonmaps_2578428_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/4/pages/page_1/files/londonmaps_2578428_2.jpg,
view 21 x 70 cm,reformatted digital|application/tif,"Cushing Library copy is part of the Stephen Powys Marks London Collection|Facsimile|Cartographic material|Panorama|View of London|Includes index of notable buildings and 2 coats-of-arms|""From 'Neuwe archontologia cosmica ... durch Johann Ludwig Gottfried, Franckfurt-am-Mayn, 1638.'""|""Emery Walker Ltd., collotypers.""",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:03:34.784000+00:00,London,2023-11-13T21:03:34.784000+00:00,"London Topographical Society|Gottfried, Johann Ludwig, active 17th century",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Aerial views,Still Image,2587965,London (England)--Aerial views--Early works to 1800--Facsimiles|London (England)--Pictorial works--Early works to 1800--Facsimiles,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/12/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/12/orderProxies,London (England)--Aerial views--Early works to 1800--Facsimiles|London (England)--Pictorial works--Early works to 1800--Facsimiles,"Merian, Matthaeus, 1593-1650",J.L. Gottfried London Topographical Society,1638. 1922.,G5754.L7A35 1638 .M4 1922,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/12/pages/page_0/files/londonmaps_2587965.jpg,
"maps : overlays ; 45 x 45 cm., sheets 58 x 49 cm",application/tif|reformatted digital,"Shows building footprints|Some sheets indicate when ""Surveyed"" and ""Levelled"" or ""Revised"" in upper margin.|Some sheets indicate more information on ""The Projection for Ordnance Survey Maps and Plans and the National Reference System.""|""The lines on this plan form part of the National Grid and are spaced at 100 metre intervals.""|Some sheets include mereing abbreviations.|Geographic area in title supplied by cataloger|Photographic reduction",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:08:48.015000+00:00,"Ordnance survey national grid plans, scale 1:2500 [Westminster]",2023-11-13T21:08:48.015000+00:00,,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic image,3970935,"Westminster (London, England)--Maps|London (England)--Maps",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages,"Westminster (London, England)|London (England)",Great Britain. Ordnance Survey.,Director General of the Ordnance Survey,1950,G5754.W54 s2 .G74,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_0/files/londonmaps_3970935_01.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_1/files/londonmaps_3970935_02.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_2/files/londonmaps_3970935_03.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_3/files/londonmaps_3970935_04.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_4/files/londonmaps_3970935_05.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_5/files/londonmaps_3970935_06.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_6/files/londonmaps_3970935_07.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_7/files/londonmaps_3970935_08.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_8/files/londonmaps_3970935_09.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_9/files/londonmaps_3970935_10.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_10/files/londonmaps_3970935_11.jpg,
"maps color 75 x 68 cm., sheet 91 x 74 cm. or smaller",application/tif|reformatted digital,"Scale 1:63,360. 1 in.=1 mile (W 60Â°0Ê¹--E 14Â°5Ê¹/N 553Â°0Ê¹--N 493Â°0Ê¹)|Each sheet is numbered and named individually|Contours are at 50 foot intervals|Cartographic material|First edition by the Director General at the Ordnance Survey Office, Chessington|Includes national grid, grid reference, and adjoining sheets|Relief shown by contours, gradient tints, and spot heights|Map series of Great Britain showing railways, parks, glasshouses, National Trust areas, electricity transmission lines, pipe lines, boundaries, quarries, gravel pits, water feature, roads, paths, buildings, and sites of battle|""Military system."" Overprinted with national grid military system",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:09:22.429000+00:00,"Ordnance Survey of Great Britain: new popular one-inch map (with national grid), England & Wales.",2023-11-13T21:09:22.429000+00:00,Great Britain War Office General Staff Geographical Section,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Topographic Maps,Cartographic Image,4015523,Great Britain--Maps|England--Maps|Wales--Maps,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/26/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/26/pages,Great Britain--Maps|England--Maps|Wales--Maps,Great Britain Ordnance Survey,War Office,1947-,G5740 s63 .G74,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/26/pages/page_0/files/londonmaps_4015523_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/26/pages/page_1/files/londonmaps_4015523_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/26/pages/page_2/files/londonmaps_4015523_3.jpg,(W 60°0'--E 14°5'/N 553°0'--N 493°0')
1 map on sheet 70 x 99 cm,application/tif|reformatted digital,"Cartographic material|Includes engraved views of Clerkenwell Green with Sessions House and St. James's Church|Plan published in 1813 in his work ""Description of an improved method of delineating estates"". Adapted from his own large-scale plan of Clerkenwell, completed for the Clerkenwell Vestry in 1808|Scale [ca. 1:2,494]",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:05:21.120000+00:00,Plan of the parish of Clerkenwell,2023-11-13T21:05:21.120000+00:00,Islington Libraries,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic Image,3999268,"Clerkenwell (London, England)--Maps--Facsimiles",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/20/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/20/orderProxies,"Clerkenwell (London, England)--Maps--Facsimiles","Hornor, Thomas, 1785-1844",Islington Libraries Archives,[between 1970 and 1979?],G5754.L7:2C5 1808 .H67 1970,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/20/pages/page_0/files/londonmaps_3999268.jpg,
1 map 150 x 238 cm. on 12 sheets 56 x 77 or 56 x 39 cm,application/tif|reformatted digital,"Cartographic material|Prospect of London and Westminster|Includes ""A prospect of London and Westminster taken at several stations to the southward thereof, by Robt. Morden & Phil. Lea,"" indexes, diagrs. of government and university administrators' names, dedication statements, text, tables, and illus|[London?: R. Morden & P. Lea?], 1682|""This survey was begun by Mr. Ogilby, and finished & humbly dedicated by Wm. Morgan.""|Scale [1:3,600] . 300 ft. in 1 in|Available also through the Library of Congress Web site as a raster image",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:10:06.810000+00:00,London &c. actually surveyed : Prospect of London and Westminster,2023-11-13T21:10:06.810000+00:00,"Morden, Robert, approximately 1650-1703|London Topographical Society|Lea, Philip, active 1683-1700|Ogilby, John, 1600-1676",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Aerial views|Cadastral maps|Pictorial maps,Cartographic Image,3971728,"Westminster (London, England)--Aerial views--Early works to 1800--Facsimiles|London (England)--Aerial views--Early works to 1800--Facsimiles|London (England)--Maps--Early works to 1800--Facsimiles",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages,"Westminster (London, England)--Aerial views--Early works to 1800--Facsimiles|London (England)--Aerial views--Early works to 1800--Facsimiles|London (England)--Maps--Early works to 1800--Facsimiles","Morgan, William, -1690",London Topographical Society,1904,G5754.L7 1682 .M6 1904,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_0/files/3971728_01.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_1/files/3971728_02.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_2/files/3971728_03.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_3/files/3971728_04.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_4/files/3971728_05.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_5/files/3971728_06.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_6/files/3971728_07.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_7/files/3971728_08.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_8/files/3971728_09.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_9/files/3971728_10.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_10/files/3971728_11.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_11/files/3971728_12.jpg,
1 map on xvi sheets 16 leaves of maps on sheets 52 x 71 cm,application/tif|reformatted digital,"Carte topographique des villes de Londres et de Westminster, du bourg de Southwark, et de leurs environs leveÌ€ treÌ€s exactement fur les lieux par Jean Rocque en 1741, et finis en 1745|Accurata descriptio urbium Londinensis et Westmonasteriensis, nec non municipii Southwarkensis, et universae regionis ad decem fere undique millia passuum, incepta anno 1741 et absoluta anno 1745|Title vignette|Carte topographique des villes de Londres et de Westminster, du bourg de Southwark, et de leurs environs leveÌ€ [sic] treÌ€s exactement fur les lieux par Jean Rocque en 1741, et finis en 1745|Photolithograph|Cartographic material|Scale [ca. 1:12,000]",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:13:00.728000+00:00,"An exact survey of the citys of London, Westminster, ye borough of Southwark and the country near ten miles round begun in 1741 & ended in 1745",2023-11-13T21:13:00.728000+00:00,,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic image,3964499,London (England)--Maps--Early works to 1800--Facsimiles|London (England)--History--18th century--Maps--Facsimiles|City of London (England)--History--18th century--Maps--Facsimiles|City of London (England)--Maps--Early works to 1800--Facsimiles,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages,London (England)--Maps--Early works to 1800--Facsimiles|City of London (England)--History--Maps--Facsimiles|City of London (England)--Maps--Early works to 1800--Facsimiles|London (England)--History--Maps--Facsimiles,"Rocque, John, -1762",Edward Stanford,1878,G5754.L7 1746 .R63 1878,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_0/files/londonmaps_3964499_01.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_1/files/londonmaps_3964499_02.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_2/files/londonmaps_3964499_03.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_3/files/londonmaps_3964499_04.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_4/files/londonmaps_3964499_05.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_5/files/londonmaps_3964499_06.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_6/files/londonmaps_3964499_07.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_7/files/londonmaps_3964499_08.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_8/files/londonmaps_3964499_09.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_9/files/londonmaps_3964499_10.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_10/files/londonmaps_3964499_11.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_11/files/londonmaps_3964499_12.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_12/files/londonmaps_3964499_13.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_13/files/londonmaps_3964499_14.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_14/files/londonmaps_3964499_15.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_15/files/londonmaps_3964499_16.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_16/files/londonmaps_3964499_17.jpg,
"5 maps 108 x 84 cm, or smaller",application/tif|reformatted digital,"Some are photocopies|Scales vary|Title devised by cataloger|Includes City of Westminster, Southwark, Camberwell|Collection of maps used for planning project?",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:19:40.511000+00:00,[Planning maps of London].,2023-11-13T21:19:40.511000+00:00,,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Maps,Cartographic Image,4825371,London (England)--Maps|City planning--England--London--Maps,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/orderProxies,London (England)--Maps,"Great Britain Ordnance Survey,",[Ordnance Survey?],[between 1970 and 1980?],G5754.L7 s000 .G7,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/pages/page_0/files/londonmaps_4825371_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/pages/page_1/files/londonmaps_4825371_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/pages/page_2/files/londonmaps_4825371_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/pages/page_3/files/londonmaps_4825371_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/pages/page_4/files/londonmaps_4825371_5.jpg,
1 map 16 x 47 cm,application/tif|reformatted digital,"Scale [ca. 1:10,000]|Plan of the intended new road from Paddington to Islington|Indexed for landowners' names|Cadastral map showing real property along proposed route|Cartographic material|""Engrav'd for the Gents. magazine, Jan. 1756.""",fedoraAdmin,eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,2023-11-13T21:13:19.060000+00:00,A plan of the intended new road from Padington to Islington,2023-11-13T21:13:19.060000+00:00,,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects,Early Maps,Cartographic Image,4033618,"Paddington (London, England)--Maps--Early works to 1800|London (England)--Maps--Early works to 1800|Real property--England--London--Maps|Roads--England--London--Maps--Early works to 1800|Islington (London, England)--Maps--Early works to 1800",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/40/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/40/pages,"Paddington (London, England)--Maps--Early works to 1800|London (England)--Maps--Early works to 1800|Islington (London, England)--Maps--Early works to 1800","Cole, B. (Benjamin)",[publisher not identified],[1756],G5754.L7P2 1756 .C6,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/40/pages/page_0/files/londonmaps_4033618.jpg,
